OwnX,OwnY,OwnW,OwnDir,OwnDist,,,
-11,-83,140,172,1,,,
-11,-83,140,172,1,,,
-12,-83,137,171,132,,,
-12,-83,137,171,132,,,
-12,-83,137,171,132,,,
-13,-83,138,171,136,,,
-13,-83,138,171,136,,,
-13,-83,138,171,136,,,
-13,-83,138,171,136,,,
-16,-82,140,168,131,,,
-16,-82,140,168,131,,,
-16,-82,140,168,131,,,
-20,-81,135,166,128,,,
-20,-81,135,166,128,,,
-20,-81,135,166,128,,,
-22,-80,130,164,128,,,
-22,-80,130,164,128,,,
-22,-80,130,164,128,,,
-22,-80,128,164,129,,,
-22,-80,128,164,129,,,
-22,-80,128,164,129,,,
-22,-80,128,164,129,,,
-20,-81,135,166,132,,,
-20,-81,135,166,132,,,
-20,-81,135,166,132,,,
-20,-81,130,166,138,,,
-20,-81,130,166,138,,,
-20,-81,130,166,138,,,
-21,-80,130,165,131,,,
-21,-80,130,165,131,,,
-21,-80,130,165,131,,,
-24,-78,132,162,130,,,
-24,-78,132,162,130,,,
-24,-78,132,162,130,,,
-24,-78,132,162,130,,,
-29,-76,126,159,96,,,
-29,-76,126,159,96,,,
-29,-76,126,159,96,,,
-31,-75,126,157,128,,,
-31,-75,126,157,128,,,
-31,-75,126,157,128,,,
-34,-75,116,155,127,,,
-34,-75,116,155,127,,,
-34,-75,116,155,127,,,
-33,-75,113,156,128,,,
-33,-75,113,156,128,,,
-33,-75,113,156,128,,,
-33,-75,113,156,128,,,
-33,-75,112,156,134,,,
-33,-75,112,156,134,,,
-33,-75,112,156,134,,,
-36,-74,114,154,128,,,
-36,-74,114,154,128,,,
-36,-74,114,154,128,,,
-39,-72,114,151,126,,,
-39,-72,114,151,126,,,
-39,-72,114,151,126,,,
-42,-71,102,149,126,,,
-42,-71,102,149,126,,,
-42,-71,102,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-42,-71,100,149,126,,,
-43,-70,102,148,127,,,
-43,-70,102,148,127,,,
-43,-70,102,148,127,,,
-46,-69,101,146,126,,,
-46,-69,101,146,126,,,
-46,-69,101,146,126,,,
-55,-65,136,139,126,,,
-55,-65,136,139,126,,,
-55,-65,136,139,126,,,
-55,-65,136,139,126,,,
-52,-65,114,141,129,,,
-52,-65,114,141,129,,,
-52,-65,114,141,129,,,
-59,-62,136,136,129,,,
-59,-62,136,136,129,,,
-59,-62,136,136,129,,,
-63,-61,144,134,128,,,
-63,-61,144,134,128,,,
-63,-61,144,134,128,,,
-55,-61,106,137,128,,,
-55,-61,106,137,128,,,
-55,-61,106,137,128,,,
-55,-61,95,137,81,,,
-55,-61,95,137,81,,,
-55,-61,95,137,81,,,
-55,-61,95,137,81,,,
-57,-60,95,136,127,,,
-57,-60,95,136,127,,,
-57,-60,95,136,127,,,
-59,-57,101,134,130,,,
-59,-57,101,134,130,,,
-59,-57,101,134,130,,,
-59,-57,92,134,127,,,
-59,-57,92,134,127,,,
-59,-57,92,134,127,,,
-60,-56,91,133,132,,,
-60,-56,91,133,132,,,
-60,-56,91,133,132,,,
-60,-56,91,133,132,,,
-60,-54,89,131,130,,,
-60,-54,89,131,130,,,
-60,-54,89,131,130,,,
-61,-54,91,131,132,,,
-61,-54,91,131,132,,,
-61,-54,91,131,132,,,
-62,-52,91,129,78,,,
-62,-52,91,129,78,,,
-62,-52,91,129,78,,,
-62,-50,89,128,136,,,
-62,-50,89,128,136,,,
-62,-50,89,128,136,,,
-62,-50,89,128,136,,,
-63,-49,92,127,128,,,
-63,-49,92,127,128,,,
-63,-49,92,127,128,,,
-62,-49,90,128,134,,,
-62,-49,90,128,134,,,
-62,-49,90,128,134,,,
-59,-51,90,130,134,,,
-59,-51,90,130,134,,,
-59,-51,90,130,134,,,
-56,-50,91,131,131,,,
-56,-50,91,131,131,,,
-56,-50,91,131,131,,,
-56,-50,91,131,131,,,
-56,-51,90,132,135,,,
-56,-51,90,132,135,,,
-56,-51,90,132,135,,,
-54,-49,88,132,132,,,
-54,-49,88,132,132,,,
-54,-49,88,132,132,,,
-55,-49,87,131,133,,,
-55,-49,87,131,133,,,
-55,-49,87,131,133,,,
-56,-48,86,130,133,,,
-56,-48,86,130,133,,,
-56,-48,86,130,133,,,
-56,-48,86,130,133,,,
-57,-48,90,130,133,,,
-57,-48,90,130,133,,,
-57,-48,90,130,133,,,
-58,-48,91,129,133,,,
-58,-48,91,129,133,,,
-58,-48,91,129,133,,,
-60,-45,90,126,138,,,
-60,-45,90,126,138,,,
-60,-45,90,126,138,,,
-60,-45,92,126,138,,,
-60,-45,92,126,138,,,
-60,-45,92,126,138,,,
-60,-45,92,126,138,,,
-59,-44,93,126,138,,,
-59,-44,93,126,138,,,
-59,-44,93,126,138,,,
-57,-50,90,131,134,,,
-57,-50,90,131,134,,,
-57,-50,90,131,134,,,
-55,-53,92,133,131,,,
-55,-53,92,133,131,,,
-55,-53,92,133,131,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-54,-55,94,135,132,,,
-53,-57,98,137,131,,,
-53,-57,98,137,131,,,
-53,-57,98,137,131,,,
-51,-59,94,139,127,,,
-51,-59,94,139,127,,,
-51,-59,94,139,127,,,
-52,-60,97,139,131,,,
-52,-60,97,139,131,,,
-52,-60,97,139,131,,,
-52,-60,97,139,131,,,
-53,-60,98,138,130,,,
-53,-60,98,138,130,,,
-53,-60,98,138,130,,,
-55,-57,99,136,78,,,
-55,-57,99,136,78,,,
-55,-57,99,136,78,,,
-58,-55,112,133,80,,,
-58,-55,112,133,80,,,
-58,-55,112,133,80,,,
-58,-54,99,132,129,,,
-58,-54,99,132,129,,,
-58,-54,99,132,129,,,
-58,-54,99,132,129,,,
-63,-54,142,130,129,,,
-63,-54,142,130,129,,,
-63,-54,142,130,129,,,
-53,-60,102,138,82,,,
-53,-60,102,138,82,,,
-53,-60,102,138,82,,,
-58,-61,144,136,128,,,
-58,-61,144,136,128,,,
-58,-61,144,136,128,,,
-57,-61,133,136,84,,,
-57,-61,133,136,84,,,
-57,-61,133,136,84,,,
-57,-61,133,136,84,,,
-53,-61,99,139,84,,,
-53,-61,99,139,84,,,
-53,-61,99,139,84,,,
-54,-60,98,138,128,,,
-54,-60,98,138,128,,,
-54,-60,98,138,128,,,
-56,-58,100,136,131,,,
-56,-58,100,136,131,,,
-56,-58,100,136,131,,,
-57,-57,106,135,129,,,
-57,-57,106,135,129,,,
-57,-57,106,135,129,,,
-57,-57,106,135,129,,,
-57,-56,96,134,138,,,
-57,-56,96,134,138,,,
-57,-56,96,134,138,,,
-59,-55,96,132,79,,,
-59,-55,96,132,79,,,
-59,-55,96,132,79,,,
-60,-53,96,131,136,,,
-60,-53,96,131,136,,,
-60,-53,96,131,136,,,
-61,-52,91,130,138,,,
-61,-52,91,130,138,,,
-61,-52,91,130,138,,,
-61,-52,91,130,138,,,
-62,-51,92,129,136,,,
-62,-51,92,129,136,,,
-62,-51,92,129,136,,,
-64,-49,88,127,135,,,
-64,-49,88,127,135,,,
-64,-49,88,127,135,,,
-66,-47,92,125,135,,,
-66,-47,92,125,135,,,
-66,-47,92,125,135,,,
